"filename", "language", "JSON", "JavaScript", "JSON with Comments", "HTML", "TypeScript", "CSS", "TypeScript React", "comment", "blank", "total"
"d:\stuffs\react-social-network\client\.netlify\state.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\stuffs\react-social-network\client\package-lock.json", "JSON", 26695, 0, 0, 0, 0, 0, 0, 0, 1, 26696
"d:\stuffs\react-social-network\client\package.json", "JSON", 36, 0, 0, 0, 0, 0, 0, 41, 0, 77
"d:\stuffs\react-social-network\client\public\index.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 7, 27
"d:\stuffs\react-social-network\client\public\manifest.json", "JSON", 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"d:\stuffs\react-social-network\client\public\sw.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 3, 7, 44
"d:\stuffs\react-social-network\client\src\App.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 39, 43, 2, 84
"d:\stuffs\react-social-network\client\src\api\PostApi.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 91, 1, 9, 101
"d:\stuffs\react-social-network\client\src\api\UserApi.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 126, 0, 13, 139
"d:\stuffs\react-social-network\client\src\api\base.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 36, 8, 6, 50
"d:\stuffs\react-social-network\client\src\components\Feed.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"d:\stuffs\react-social-network\client\src\components\Form\AddPost.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 113, 5, 10, 128
"d:\stuffs\react-social-network\client\src\components\Form\EditProfile.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 121, 3, 9, 133
"d:\stuffs\react-social-network\client\src\components\Form\Input.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"d:\stuffs\react-social-network\client\src\components\Navbar\Navbar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 106, 9, 9, 124
"d:\stuffs\react-social-network\client\src\components\Popup\DeleteBox.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 77, 0, 5, 82
"d:\stuffs\react-social-network\client\src\components\Post\AddComment.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 57, 0, 8, 65
"d:\stuffs\react-social-network\client\src\components\Post\Comment.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 72, 0, 3, 75
"d:\stuffs\react-social-network\client\src\components\Post\CustomPost.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 55, 0, 14, 69
"d:\stuffs\react-social-network\client\src\components\Post\Post.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 105, 0, 12, 117
"d:\stuffs\react-social-network\client\src\components\Post\PostIcons.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 58, 0, 9, 67
"d:\stuffs\react-social-network\client\src\components\Post\PostsList.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 35, 16, 4, 55
"d:\stuffs\react-social-network\client\src\components\Search\Search.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 42, 0, 4, 46
"d:\stuffs\react-social-network\client\src\components\Search\SearchField.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 16, 0, 3, 19
"d:\stuffs\react-social-network\client\src\components\Sidebar\LeftSidebar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 27, 0, 4, 31
"d:\stuffs\react-social-network\client\src\components\Sidebar\RightSidebar.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 52, 1, 5, 58
"d:\stuffs\react-social-network\client\src\components\Sidebar\UserList.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 19, 0, 2, 21
"d:\stuffs\react-social-network\client\src\hooks\useAuth.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 7, 0, 4, 11
"d:\stuffs\react-social-network\client\src\hooks\useSingleUser.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"d:\stuffs\react-social-network\client\src\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 19, 6, 5, 30
