"filename", "language", "JSON", "JavaScript", "JSON with Comments", "HTML", "comment", "blank", "total"
"d:\stuffs\react-social-network\client\.netlify\state.json", "JSON", -3, 0, 0, 0, 0, 0, -3
"d:\stuffs\react-social-network\client\package-lock.json", "JSON", -26695, 0, 0, 0, 0, -1, -26696
"d:\stuffs\react-social-network\client\package.json", "JSON", -36, 0, 0, 0, -41, 0, -77
"d:\stuffs\react-social-network\client\public\index.html", "HTML", 0, 0, 0, -20, 0, -7, -27
"d:\stuffs\react-social-network\client\public\manifest.json", "JSON", -26, 0, 0, 0, 0, 0, -26
"d:\stuffs\react-social-network\client\public\sw.js", "JavaScript", 0, -34, 0, 0, -3, -7, -44
"d:\stuffs\react-social-network\client\tailwind.config.js", "JavaScript", 0, -33, 0, 0, -14, -1, -48
"d:\stuffs\react-social-network\client\tsconfig.json", "JSON with Comments", 0, 0, -28, 0, 0, -2, -30
"d:\stuffs\react-social-network\client\tsconfig.paths.json", "JSON", -5, 0, 0, 0, -11, 0, -16
"Total", "-", -26765, -67, -28, -20, -69, -18, -26967
